Number of Vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Daylight/Dark,Weather Conditions,Local Authority ,Type of Vehicle,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty
2,31/01/2017,1840,U,Wet/Damp,5,Dark,2,Calderdale,9,1,2,2,115
2,01/02/2017,1400,A6139,Wet/Damp,1,Daylight,1,Calderdale,9,1,3,2,48
2,02/02/2017,1045,U,Wet/Damp,1,Daylight,1,Calderdale,9,1,3,2,76
2,02/02/2017,2200,A58,Dry,4,Dark,1,Calderdale,9,1,3,1,22
1,03/02/2017,1806,A646,Dry,4,Dark,1,Calderdale,9,3,3,2,14
3,04/02/2017,612,A6033,Wet/Damp,4,Dark,1,Calderdale,9,1,2,1,26
2,04/02/2017,1310,A644,Dry,1,Daylight,1,Calderdale,19,1,3,2,65
1,04/02/2017,1730,A646,Dry,4,Dark,1,Calderdale,9,3,3,1,
2,05/02/2017,1227,A62,Dry,1,Daylight,1,Calderdale,9,1,3,1,51
1,07/02/2017,921,U,Dry,1,Daylight,1,Calderdale,9,1,3,1,67
2,07/02/2017,1423,B6114,Dry,1,Daylight,1,Calderdale,9,1,3,1,28
2,07/02/2017,1546,A6319,Dry,1,Daylight,1,Calderdale,9,1,3,1,34
1,06/02/2017,1900,U,Wet/Damp,4,Dark,1,Calderdale,9,3,3,2,14
1,08/02/2017,833,U,Dry,1,Daylight,1,Calderdale,9,3,3,2,13
1,08/02/2017,1430,A629,Wet/Damp,1,Daylight,1,Calderdale,9,3,2,2,76
1,08/02/2017,1730,U,Dry,7,Dark,1,Calderdale,3,3,3,2,45
2,08/02/2017,1830,U,Dry,4,Dark,1,Calderdale,9,1,3,2,30
4,11/02/2017,605,B6112,Snow,4,Dark,3,Calderdale,9,1,3,1,35
3,12/02/2017,1338,M62,Wet/Damp,1,Daylight,6,Calderdale,9,1,3,1,57
3,12/02/2017,1450,A644,Wet/Damp,1,Daylight,3,Calderdale,9,1,3,1,26
2,13/02/2017,2243,A58,Dry,4,Dark,1,Calderdale,9,1,3,1,24
2,15/02/2017,1225,A646,Dry,1,Daylight,1,Calderdale,9,1,2,1,68
2,15/02/2017,1430,A646,Dry,1,Daylight,1,Calderdale,9,1,3,2,53
1,15/02/2017,1854,U,Wet/Damp,4,Dark,1,Calderdale,9,3,3,2,11
2,18/02/2017,1440,U,Dry,1,Daylight,1,Calderdale,9,1,3,1,25
1,18/02/2017,2330,U,Wet/Damp,6,,1,Calderdale,8,3,2,2,39
1,19/02/2017,5,A646,Wet/Damp,4,Dark,2,Calderdale,9,1,3,1,19
3,20/02/2017,1212,A644,Wet/Damp,1,Daylight,2,Calderdale,9,1,3,2,74
2,21/02/2017,700,B6114,Dry,7,Dark,1,Calderdale,9,2,3,1,21
1,22/02/2017,1939,A681,Wet/Damp,6,,2,Calderdale,3,1,2,1,30
1,24/02/2017,1200,U,Dry,1,Daylight,4,Calderdale,9,3,3,2,59
1,24/02/2017,2227,B6113,Dry,4,Dark,1,Calderdale,9,2,3,2,17
4,28/02/2017,847,M62,Wet/Damp,1,Daylight,1,Calderdale,9,1,2,1,35
2,04/03/2017,1500,U,Dry,1,Daylight,1,Calderdale,9,1,3,1,46
2,07/03/2017,823,A644,Dry,1,Daylight,1,Calderdale,9,1,3,1,18
2,10/08/2017,940,U,Wet/Damp,1,Daylight,1,Calderdale,9,2,3,2,48
