Number of Vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Daylight/Dark,Weather Conditions,Local Authority ,Type of Vehicle,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty
1,27/11/2017,1308,U,Wet ¨ Damp,1,Daylight,1,Calderdale,9,3,3,1,14
2,28/11/2017,850,U,Dry,1,Daylight,1,Calderdale,3,1,3,1,27
2,28/11/2017,1426,A629,Dry,1,Daylight,1,Calderdale,9,1,3,2,35
1,28/11/2017,1535,U,Wet ¨ Damp,1,Daylight,1,Calderdale,9,3,3,1,6
1,29/11/2017,1835,U,Wet/Damp,4,Dark,1,Calderdale,97,3,3,1,75
1,30/11/2017,1635,U,Wet/Damp,4,Dark,1,Calderdale,9,3,3,1,10
2,01/12/2017,1055,A646,Wet/Damp,1,Daylight,1,Calderdale,9,1,3,1,73
2,01/12/2017,1700,U,Dry,4,Dark,1,Calderdale,9,1,3,1,44
2,04/12/2017,850,A58,Wet/Damp,1,Daylight,1,Calderdale,9,2,2,1,12
2,01/12/2017,1745,M62,Dry,4,Dark,1,Calderdale,9,1,3,1,60
2,05/12/2017,1120,A646,Dry,1,Daylight,1,Calderdale,19,1,3,1,18
3,06/12/2017,1357,U,Dry,1,Daylight,1,Calderdale,9,1,2,1,88
2,07/12/2017,829,U,Dry,1,Daylight,1,Calderdale,9,1,3,1,35
2,08/12/2017,815,U,Snow,1,Daylight,1,Calderdale,9,1,3,2,67
2,09/12/2017,1521,U,Wet/Damp,1,Daylight,1,Calderdale,9,2,3,2,50
1,12/12/2017,820,U,Wet/Damp,1,Daylight,1,Calderdale,8,3,3,1,15
2,12/12/2017,1200,A641,Wet/Damp,1,Daylight,1,Calderdale,9,1,3,2,83
1,14/12/2017,521,U,Frost/Ice,4,Dark,8,Calderdale,9,1,3,2,46
2,13/12/2017,1325,A629,Wet/Damp,1,Daylight,1,Calderdale,8,1,3,1,36
1,14/12/2017,1617,U,Dry,1,Daylight,1,Calderdale,9,3,3,1,14
2,15/12/2017,1446,M62,Dry,1,Daylight,1,Calderdale,9,1,3,2,58
2,16/12/2017,1302,M62,Frost/Ice,1,Daylight,1,Calderdale,9,2,2,1,23
1,18/12/2017,1410,A672,Dry,1,Daylight,1,Calderdale,9,1,3,1,67
1,19/12/2017,1530,U,Dry,1,Daylight,1,Calderdale,9,3,3,2,15
1,21/12/2017,1815,A6036,Wet/Damp,4,Dark,2,Calderdale,11,3,1,1,49
2,22/12/2017,818,U,Wet/Damp,1,Daylight,1,Calderdale,1,1,3,1,38
2,24/12/2017,1930,A6026,Wet/Damp,4,Dark,1,Calderdale,9,1,2,1,72
2,26/12/2017,1217,A646,Dry,1,Daylight,1,Calderdale,9,2,3,2,74
2,27/12/2017,1859,U,Wet/Damp,4,Dark,1,Calderdale,9,1,3,2,88
3,27/12/2017,2053,U,Wet/Damp,4,Dark,1,Calderdale,9,1,2,2,31
1,28/12/2017,1132,U,Dry,1,Daylight,1,Calderdale,9,3,3,1,9
3,28/12/2017,2020,A58,Frost/Ice,4,Dark,1,Calderdale,9,1,2,1,24
2,31/12/2017,1331,U,Dry,1,Daylight,1,Calderdale,9,1,3,1,28
1,01/01/2016,52,3,2,4,Dark,1,Calderdale,8,3,3,1,27
1,01/01/2016,1204,6,2,1,Daylight,1,Calderdale,9,1,3,2,87
2,01/01/2016,1400,6,1,1,Daylight,1,Calderdale,9,1,3,1,23
1,02/01/2016,1630,3,2,4,Dark,2,Calderdale,9,3,3,2,65
2,03/01/2016,1700,3,2,4,Dark,2,Calderdale,1,1,3,1,24
2,06/01/2016,734,6,2,4,Dark,1,Calderdale,3,1,3,1,26
2,06/01/2016,950,3,2,1,Daylight,1,Calderdale,9,1,3,2,82
2,06/01/2016,950,3,2,1,Daylight,1,Calderdale,21,1,3,1,32
2,07/01/2016,846,3,2,1,Daylight,2,Calderdale,9,1,3,2,25
1,07/01/2016,1600,3,1,1,Daylight,1,Calderdale,9,3,3,1,34
1,08/01/2016,1200,3,1,1,Daylight,1,Calderdale,19,3,3,2,36
1,13/01/2016,1856,6,2,1,Daylight,1,Calderdale,2,1,2,1,27
2,14/01/2016,831,1,2,1,Daylight,1,Calderdale,9,1,3,1,63
2,14/01/2016,1320,3,1,1,Daylight,1,Calderdale,1,1,1,1,55
1,15/01/2016,1202,3,1,1,Daylight,1,Calderdale,21,3,2,2,87
2,15/01/2016,1536,6,2,1,Daylight,1,Calderdale,9,1,3,1,29
1,16/01/2016,1310,6,1,1,Daylight,1,Calderdale,9,3,3,1,60
1,16/01/2016,2054,6,3,4,Dark,3,Calderdale,8,2,3,2,29
1,16/01/2016,2101,1,3,4,Dark,3,Calderdale,9,1,3,2,18
1,17/01/2016,2040,6,2,6,,1,Calderdale,90,1,2,1,33
2,18/01/2016,1635,6,1,4,Dark,9,Calderdale,9,1,3,1,23
1,20/01/2016,911,6,2,1,Daylight,1,Calderdale,9,3,3,2,33
1,22/01/2016,900,6,2,1,Daylight,1,Calderdale,8,2,3,1,16
1,22/01/2016,900,6,2,1,Daylight,1,Calderdale,8,2,3,2,11
1,22/01/2016,900,6,2,1,Daylight,1,Calderdale,8,2,3,1,12
2,22/01/2016,915,1,1,1,Daylight,1,Calderdale,9,1,3,1,47
2,25/01/2016,1410,3,1,1,Daylight,1,Calderdale,9,2,3,2,30
1,26/01/2016,1533,6,2,1,Daylight,1,Calderdale,9,3,3,1,25
1,26/01/2016,1708,6,2,4,Dark,5,Calderdale,9,3,3,1,49
2,27/01/2016,1728,6,2,4,Dark,5,Calderdale,3,1,3,1,27
2,28/01/2016,2050,6,1,4,Dark,9,Calderdale,9,1,3,2,20
1,30/01/2016,1515,6,1,1,Daylight,9,Calderdale,9,3,3,2,66
1,30/01/2016,2331,1,3,4,Dark,6,Calderdale,9,2,3,2,31
2,31/01/2016,1455,3,2,1,Daylight,1,Calderdale,9,3,3,2,16
2,02/02/2016,830,6,1,1,Daylight,1,Calderdale,9,1,3,1,55
1,04/02/2016,1636,3,1,1,Daylight,9,Calderdale,9,3,3,2,5
1,06/02/2016,1325,3,2,1,Daylight,5,Calderdale,9,1,3,2,55
2,27/01/2016,1624,1,1,4,Dark,9,Calderdale,9,1,3,2,55
2,08/02/2016,1430,3,2,1,Daylight,2,Calderdale,1,1,3,1,55
1,09/02/2016,1618,6,2,1,Daylight,1,Calderdale,3,1,3,1,19
3,09/02/2016,1934,3,2,4,Dark,1,Calderdale,9,1,2,1,54
1,10/02/2016,1402,3,1,1,Daylight,9,Calderdale,9,3,3,1,50
1,11/02/2016,645,3,4,4,Dark,1,Calderdale,9,1,3,1,21
2,11/02/2016,1910,6,1,4,Dark,1,Calderdale,9,2,3,1,26
1,15/02/2016,1150,3,1,1,Daylight,1,Calderdale,9,3,3,2,13
2,16/02/2016,900,3,1,1,Daylight,1,Calderdale,19,1,3,1,74
1,16/02/2016,2110,3,2,5,Dark,2,Calderdale,9,1,3,1,18
5,18/02/2016,1028,6,1,1,Daylight,1,Calderdale,9,2,3,2,26
5,18/02/2016,1028,6,1,1,Daylight,1,Calderdale,9,1,3,1,37
5,18/02/2016,1028,6,1,1,Daylight,1,Calderdale,9,2,3,2,36
5,18/02/2016,1028,6,1,1,Daylight,1,Calderdale,9,1,3,2,34
2,19/02/2016,1625,4,2,1,Daylight,2,Calderdale,1,1,3,1,24
2,19/02/2016,2100,3,2,4,Dark,2,Calderdale,9,1,3,2,33
2,20/02/2016,1530,4,1,1,Daylight,1,Calderdale,9,1,2,2,46
2,20/02/2016,1530,4,2,1,Daylight,2,Calderdale,9,1,3,2,32
2,20/02/2016,2004,3,2,4,Dark,1,Calderdale,8,1,3,1,36
2,20/02/2016,2004,3,2,4,Dark,1,Calderdale,9,1,2,2,19
2,20/02/2016,1550,3,2,1,Daylight,5,Calderdale,9,1,3,2,30
3,22/02/2016,700,1,2,1,Daylight,1,Calderdale,9,1,3,1,41
3,22/02/2016,700,1,2,1,Daylight,1,Calderdale,9,2,3,1,60
3,22/02/2016,750,6,1,1,Daylight,1,Calderdale,9,2,3,2,7
3,22/02/2016,750,6,1,1,Daylight,1,Calderdale,9,2,3,2,9
2,22/02/2016,1129,1,2,1,Daylight,1,Calderdale,9,1,3,1,44
1,22/02/2016,1710,6,1,1,Daylight,1,Calderdale,5,1,2,1,41
1,22/02/2016,1320,6,1,1,Daylight,1,Calderdale,9,3,3,2,29
2,24/02/2016,1805,6,1,4,Dark,1,Calderdale,1,1,3,2,45
2,24/02/2016,1157,3,1,1,Daylight,1,Calderdale,9,1,3,2,35
1,24/02/2016,1337,3,1,1,Daylight,1,Calderdale,9,3,3,1,29
1,25/02/2016,1550,3,1,1,Daylight,1,Calderdale,9,3,3,1,3
2,25/02/2016,1720,6,1,1,Daylight,1,Calderdale,9,1,3,2,41
2,26/02/2016,1340,6,1,1,Daylight,1,Calderdale,9,1,3,1,
2,27/02/2016,1950,3,1,4,Dark,1,Calderdale,9,1,3,1,19
2,27/02/2016,1950,3,1,4,Dark,1,Calderdale,9,2,3,1,70
2,27/02/2016,1950,3,1,4,Dark,1,Calderdale,9,2,3,2,18
2,27/02/2016,1950,3,1,4,Dark,1,Calderdale,9,1,3,2,55
1,29/02/2016,715,3,1,1,Daylight,1,Calderdale,9,1,3,2,19
1,29/02/2016,715,3,1,1,Daylight,1,Calderdale,9,2,2,2,23
1,28/02/2016,1345,3,1,1,Daylight,1,Calderdale,5,1,3,1,51
3,01/03/2016,1540,6,2,1,Daylight,2,Calderdale,9,2,2,1,4
3,01/03/2016,1540,6,2,1,Daylight,2,Calderdale,9,1,3,1,23
3,01/03/2016,1540,6,2,1,Daylight,2,Calderdale,9,1,3,1,53
3,01/03/2016,1540,6,2,1,Daylight,2,Calderdale,9,2,3,1,11
3,01/03/2016,1540,6,2,1,Daylight,2,Calderdale,9,2,3,2,52
3,01/03/2016,1540,6,2,1,Daylight,2,Calderdale,9,2,3,1,12
3,01/03/2016,1540,6,2,1,Daylight,2,Calderdale,9,1,3,2,35
3,01/03/2016,1540,6,2,1,Daylight,2,Calderdale,9,2,3,2,6
1,02/03/2016,542,3,3,4,Dark,6,Calderdale,9,1,3,1,47
1,02/03/2016,905,6,3,1,Daylight,3,Calderdale,9,1,3,2,48
2,02/03/2016,1250,6,1,1,Daylight,9,Calderdale,9,1,3,1,23
3,02/03/2016,1620,3,1,1,Daylight,1,Calderdale,9,1,3,2,51
3,02/03/2016,1727,1,2,1,Daylight,1,Calderdale,19,1,3,1,39
3,02/03/2016,1727,1,2,1,Daylight,1,Calderdale,9,1,3,1,35
2,02/03/2016,1725,6,1,1,Daylight,9,Calderdale,9,1,3,2,19
2,02/03/2016,1725,6,1,1,Daylight,9,Calderdale,9,2,3,2,21
1,04/03/2016,958,6,3,1,Daylight,3,Calderdale,9,1,3,1,57
2,04/03/2016,800,3,3,1,Daylight,3,Calderdale,1,1,3,2,36
2,04/03/2016,1500,6,3,1,Daylight,3,Calderdale,9,1,3,2,40
1,05/03/2016,1030,6,1,1,Daylight,1,Calderdale,9,3,3,2,12
2,06/03/2016,1923,6,1,4,Dark,1,Calderdale,9,1,3,1,25
1,07/03/2016,904,6,1,1,Daylight,1,Calderdale,9,3,3,2,67
2,07/03/2016,1840,3,1,1,Daylight,1,Calderdale,9,1,3,1,64
2,07/03/2016,1840,3,1,1,Daylight,1,Calderdale,20,1,3,1,57
2,07/03/2016,1840,3,1,1,Daylight,1,Calderdale,20,3,3,1,55
2,07/03/2016,1642,6,1,1,Daylight,1,Calderdale,9,1,3,1,33
1,09/03/2016,1545,6,2,1,Daylight,2,Calderdale,9,3,3,1,11
2,10/03/2016,651,6,1,1,Daylight,9,Calderdale,9,1,3,1,48
2,10/03/2016,657,6,2,6,,1,Calderdale,9,1,3,1,35
1,12/03/2016,1700,6,1,1,Daylight,1,Calderdale,9,3,3,1,7
6,13/03/2016,1048,3,1,1,Daylight,1,Calderdale,9,2,3,1,25
6,13/03/2016,1048,3,1,1,Daylight,1,Calderdale,9,1,3,1,22
6,13/03/2016,1048,3,1,1,Daylight,1,Calderdale,9,2,3,1,21
2,15/03/2016,759,1,2,1,Daylight,1,Calderdale,19,1,3,1,34
1,18/03/2016,600,3,1,1,Daylight,9,Calderdale,19,2,3,1,24
2,18/03/2016,830,3,1,1,Daylight,1,Calderdale,9,1,3,2,21
1,19/03/2016,1107,6,1,1,Daylight,1,Calderdale,9,3,3,1,26
2,19/03/2016,1330,6,1,1,Daylight,1,Calderdale,9,1,2,1,88
1,19/03/2016,1727,6,1,1,Daylight,1,Calderdale,9,1,3,2,24
1,19/03/2016,1727,6,1,1,Daylight,1,Calderdale,9,2,3,2,23
3,19/03/2016,1856,6,1,4,Dark,1,Calderdale,9,1,3,1,72
3,19/03/2016,1856,6,1,4,Dark,1,Calderdale,9,1,3,1,21
3,19/03/2016,1856,6,1,4,Dark,1,Calderdale,9,2,3,2,21
1,19/03/2016,1902,6,1,1,Daylight,1,Calderdale,9,3,2,1,93
2,21/03/2016,1655,6,1,1,Daylight,1,Calderdale,1,1,3,1,41
3,22/03/2016,1710,3,1,1,Daylight,1,Calderdale,5,1,2,1,36
1,22/03/2016,1730,3,1,1,Daylight,1,Calderdale,9,3,3,1,7
2,23/03/2016,1700,6,1,1,Daylight,1,Calderdale,9,1,3,1,79
1,24/03/2016,759,6,2,1,Daylight,8,Calderdale,9,1,3,2,27
1,24/03/2016,759,6,2,1,Daylight,8,Calderdale,9,2,3,1,36
3,24/03/2016,1025,3,2,1,Daylight,1,Calderdale,9,1,3,1,59
3,24/03/2016,1025,3,2,1,Daylight,1,Calderdale,9,2,3,2,10
1,24/03/2016,1555,3,1,1,Daylight,8,Calderdale,9,3,2,1,14
2,24/03/2016,1827,3,2,4,Dark,2,Calderdale,4,1,3,1,49
2,25/03/2016,715,3,1,1,Daylight,1,Calderdale,1,1,3,1,50
1,26/03/2016,1731,1,2,1,Daylight,5,Calderdale,9,1,3,2,33
1,27/03/2016,1350,1,2,1,Daylight,5,Calderdale,9,2,3,2,26
3,27/03/2016,1910,3,2,1,Daylight,1,Calderdale,9,1,3,1,39
3,29/03/2016,845,3,2,1,Daylight,3,Calderdale,9,1,3,1,36
2,29/03/2016,600,3,1,1,Daylight,1,Calderdale,9,1,3,1,35
2,31/03/2016,930,3,1,1,Daylight,1,Calderdale,9,1,3,1,35
2,31/03/2016,930,3,1,1,Daylight,1,Calderdale,9,2,3,1,35
1,02/04/2016,550,6,2,1,Daylight,1,Calderdale,9,3,3,1,36
1,02/04/2016,1353,6,1,1,Daylight,1,Calderdale,9,3,2,1,22
3,02/04/2016,1610,3,1,1,Daylight,1,Calderdale,9,1,3,1,47
3,02/04/2016,1610,3,1,1,Daylight,1,Calderdale,9,2,3,2,46
3,02/04/2016,1610,3,1,1,Daylight,1,Calderdale,9,2,3,2,16
3,02/04/2016,1610,3,1,1,Daylight,1,Calderdale,9,1,3,2,32
3,02/04/2016,1610,3,1,1,Daylight,1,Calderdale,9,2,3,1,62
3,02/04/2016,1610,3,1,1,Daylight,1,Calderdale,9,2,3,2,62
3,02/04/2016,1610,3,1,1,Daylight,1,Calderdale,9,1,3,2,70
3,02/04/2016,1610,3,1,1,Daylight,1,Calderdale,9,2,3,2,70
1,06/04/2016,2148,6,2,5,Dark,2,Calderdale,8,3,3,1,77
1,08/04/2016,1030,1,1,1,Daylight,1,Calderdale,21,1,3,1,49
1,10/04/2016,1443,6,1,1,Daylight,1,Calderdale,9,3,3,2,14
3,10/04/2016,2122,3,1,4,Dark,1,Calderdale,9,1,3,1,32
1,11/04/2016,1308,3,1,1,Daylight,1,Calderdale,21,3,3,1,54
1,11/04/2016,1604,6,1,1,Daylight,1,Calderdale,9,3,3,2,4
1,12/04/2016,1236,6,2,1,Daylight,2,Calderdale,9,3,2,2,37
2,12/04/2016,1620,6,2,1,Daylight,2,Calderdale,9,1,3,2,44
2,12/04/2016,1620,6,2,1,Daylight,2,Calderdale,9,1,3,2,23
1,12/04/2016,2104,6,2,4,Dark,1,Calderdale,9,2,2,1,19
1,12/04/2016,2104,6,2,4,Dark,1,Calderdale,9,2,2,1,15
1,12/04/2016,2104,6,2,4,Dark,1,Calderdale,9,2,2,1,25
2,13/04/2016,1649,6,1,1,Daylight,1,Calderdale,9,1,3,2,46
1,13/04/2016,1700,6,1,1,Daylight,1,Calderdale,5,1,1,1,46
2,15/04/2016,1256,6,1,1,Daylight,1,Calderdale,1,1,3,1,43
1,14/04/2016,1515,6,1,1,Daylight,1,Calderdale,9,3,3,1,4
2,14/04/2016,1800,4,1,1,Daylight,1,Calderdale,9,1,3,2,25
2,15/04/2016,1505,6,2,1,Daylight,1,Calderdale,5,1,2,2,53
2,15/04/2016,1800,3,1,1,Daylight,1,Calderdale,1,1,3,1,50
1,18/04/2016,2221,6,1,4,Dark,1,Calderdale,9,3,3,2,55
2,19/04/2016,800,6,1,1,Daylight,1,Calderdale,3,1,2,2,21
4,19/04/2016,1136,3,1,1,Daylight,1,Calderdale,9,1,3,2,26
4,19/04/2016,1136,3,1,1,Daylight,1,Calderdale,9,1,3,2,38
2,20/04/2016,910,3,1,1,Daylight,1,Calderdale,5,1,2,1,74
4,20/04/2016,1525,6,1,1,Daylight,1,Calderdale,9,1,3,1,37
4,20/04/2016,1525,6,1,1,Daylight,1,Calderdale,8,1,3,1,45
4,20/04/2016,1525,6,1,1,Daylight,1,Calderdale,9,1,3,2,51
4,20/04/2016,1525,6,1,1,Daylight,1,Calderdale,9,1,3,1,24
3,21/04/2016,2244,3,1,4,Dark,1,Calderdale,9,1,3,1,34
3,21/04/2016,2244,3,1,4,Dark,1,Calderdale,9,2,3,1,20
2,22/04/2016,811,3,1,1,Daylight,1,Calderdale,9,1,3,2,57
2,22/04/2016,811,3,1,1,Daylight,1,Calderdale,9,1,3,2,62
2,22/04/2016,1258,3,1,1,Daylight,1,Calderdale,9,1,3,2,41
2,23/04/2016,130,3,1,4,Dark,1,Calderdale,9,1,3,1,23
2,23/04/2016,130,3,1,4,Dark,1,Calderdale,8,1,3,1,40
2,17/04/2016,1730,6,1,1,Daylight,1,Calderdale,9,2,3,2,51
2,25/04/2016,610,3,1,1,Daylight,1,Calderdale,1,1,3,1,37
2,25/04/2016,1736,1,2,1,Daylight,1,Calderdale,9,1,3,1,27
2,25/04/2016,1736,1,2,1,Daylight,1,Calderdale,20,1,3,1,31
2,25/04/2016,1730,3,1,1,Daylight,1,Calderdale,1,1,3,1,59
1,26/04/2016,1545,4,1,1,Daylight,1,Calderdale,9,3,3,1,14
3,28/04/2016,2104,6,1,4,Dark,1,Calderdale,9,3,3,1,60
2,30/04/2016,718,6,1,1,Daylight,1,Calderdale,9,1,3,2,30
1,30/04/2016,1205,3,1,1,Daylight,1,Calderdale,9,3,3,1,51
2,30/04/2016,1925,6,1,1,Daylight,1,Calderdale,9,1,3,1,54
1,30/04/2016,1230,6,1,1,Daylight,1,Calderdale,9,3,3,2,43
2,01/05/2016,2239,6,1,4,Dark,1,Calderdale,9,1,3,2,26
2,03/05/2016,1126,1,1,1,Daylight,1,Calderdale,9,1,3,1,29
1,03/05/2016,1725,6,1,1,Daylight,1,Calderdale,9,3,2,1,11
3,04/05/2016,743,1,1,1,Daylight,1,Calderdale,9,1,3,2,31
3,04/05/2016,743,1,1,1,Daylight,1,Calderdale,9,1,3,2,22
1,05/05/2016,756,3,1,1,Daylight,1,Calderdale,5,3,3,2,25
1,05/05/2016,756,3,1,1,Daylight,1,Calderdale,5,1,3,1,24
1,05/05/2016,756,3,1,1,Daylight,1,Calderdale,5,2,3,2,22
2,05/05/2016,1700,6,1,1,Daylight,1,Calderdale,9,1,3,1,24
2,06/05/2016,1418,3,1,1,Daylight,1,Calderdale,9,1,3,2,27
2,06/05/2016,1230,4,1,1,Daylight,1,Calderdale,9,3,3,2,40
1,07/05/2016,2207,3,2,6,,1,Calderdale,9,2,3,1,19
2,08/05/2016,1202,3,1,1,Daylight,1,Calderdale,1,1,3,1,30
1,10/05/2016,1515,6,1,1,Daylight,1,Calderdale,9,3,3,2,6
2,10/05/2016,1720,6,2,1,Daylight,2,Calderdale,1,1,3,1,40
2,10/05/2016,1345,6,1,1,Daylight,1,Calderdale,5,1,3,1,50
3,11/05/2016,904,6,1,1,Daylight,1,Calderdale,9,1,3,2,79
3,11/05/2016,904,6,1,1,Daylight,1,Calderdale,9,1,3,2,73
4,12/05/2016,705,3,1,1,Daylight,1,Calderdale,9,1,3,2,64
4,12/05/2016,705,3,1,1,Daylight,1,Calderdale,9,1,3,2,55
1,13/05/2016,1555,6,1,1,Daylight,1,Calderdale,9,3,2,1,20
1,13/05/2016,2000,6,1,1,Daylight,1,Calderdale,2,1,3,1,19
2,14/05/2016,951,6,1,1,Daylight,1,Calderdale,9,1,3,2,24
2,14/05/2016,1438,6,1,1,Daylight,1,Calderdale,9,1,3,2,24
2,14/05/2016,1438,6,1,1,Daylight,1,Calderdale,9,1,3,2,42
2,14/05/2016,1420,3,1,1,Daylight,1,Calderdale,9,2,3,1,9
2,14/05/2016,1420,3,1,1,Daylight,1,Calderdale,9,1,3,1,32
2,14/05/2016,1420,3,1,1,Daylight,1,Calderdale,9,2,3,2,11
1,14/05/2016,1905,3,1,1,Daylight,1,Calderdale,19,3,3,2,32
2,15/05/2016,855,3,1,1,Daylight,1,Calderdale,9,1,3,1,48
2,15/05/2016,855,3,1,1,Daylight,1,Calderdale,9,1,3,2,20
2,16/05/2016,1735,3,1,1,Daylight,1,Calderdale,5,1,3,1,57
2,16/05/2016,2000,3,1,1,Daylight,1,Calderdale,1,1,3,1,13
2,16/05/2016,2314,3,1,4,Dark,1,Calderdale,9,1,3,1,83
2,16/05/2016,2314,3,1,4,Dark,1,Calderdale,9,2,3,1,79
2,16/05/2016,2314,3,1,4,Dark,1,Calderdale,9,1,3,1,34
2,17/05/2016,1209,6,1,1,Daylight,1,Calderdale,19,1,3,2,31
2,17/05/2016,1209,6,1,1,Daylight,1,Calderdale,9,1,3,1,42
1,14/05/2016,1645,6,1,1,Daylight,1,Calderdale,9,3,3,1,35
3,17/05/2016,1810,6,1,1,Daylight,1,Calderdale,9,1,3,2,19
3,17/05/2016,1810,6,1,1,Daylight,1,Calderdale,9,2,3,1,62
2,19/05/2016,1400,6,1,1,Daylight,1,Calderdale,9,2,3,1,1
2,19/05/2016,1400,6,1,1,Daylight,1,Calderdale,9,1,3,2,52
1,19/05/2016,2149,6,1,4,Dark,1,Calderdale,9,3,3,2,45
1,19/05/2016,2149,6,1,4,Dark,1,Calderdale,9,1,3,2,26
1,20/05/2016,230,6,2,4,Dark,1,Calderdale,9,3,3,2,23
1,20/05/2016,230,6,2,4,Dark,1,Calderdale,9,3,3,2,24
1,20/05/2016,230,6,2,4,Dark,1,Calderdale,9,3,3,1,25
1,21/05/2016,210,3,2,4,Dark,2,Calderdale,9,1,2,1,20
1,21/05/2016,210,3,2,4,Dark,2,Calderdale,9,2,2,1,
1,21/05/2016,210,3,2,4,Dark,2,Calderdale,9,2,3,1,21
1,21/05/2016,210,3,2,4,Dark,2,Calderdale,9,2,3,1,25
2,21/05/2016,2108,4,2,4,Dark,2,Calderdale,9,2,3,2,19
2,21/05/2016,2108,4,2,4,Dark,2,Calderdale,9,1,2,2,40
1,22/05/2016,2045,3,1,4,Dark,1,Calderdale,9,1,3,1,18
1,22/05/2016,2045,3,1,4,Dark,1,Calderdale,9,2,3,2,16
2,23/05/2016,1435,1,1,1,Daylight,1,Calderdale,9,2,2,2,74
2,23/05/2016,1720,6,1,1,Daylight,1,Calderdale,1,1,3,1,44
2,24/05/2016,1428,3,1,1,Daylight,1,Calderdale,9,2,3,2,65
2,24/05/2016,1428,3,1,1,Daylight,1,Calderdale,9,1,3,2,68
2,24/05/2016,1428,3,1,1,Daylight,1,Calderdale,9,1,3,1,46
2,24/05/2016,2022,3,1,1,Daylight,1,Calderdale,1,1,3,2,65
1,26/05/2016,1155,3,2,1,Daylight,2,Calderdale,8,3,3,2,75
1,26/05/2016,1632,6,2,1,Daylight,2,Calderdale,2,1,2,1,20
1,26/05/2016,1720,6,2,1,Daylight,2,Calderdale,9,3,3,1,8
2,27/05/2016,2345,3,1,4,Dark,1,Calderdale,9,1,3,1,45
2,27/05/2016,2345,3,1,4,Dark,1,Calderdale,9,2,3,2,45
3,28/05/2016,1016,3,1,1,Daylight,1,Calderdale,1,1,3,1,26
3,28/05/2016,1016,3,1,1,Daylight,1,Calderdale,1,1,3,1,46
1,29/05/2016,2018,6,1,1,Daylight,1,Calderdale,5,1,3,1,60
1,30/05/2016,1735,6,1,1,Daylight,1,Calderdale,9,3,2,1,15
3,31/05/2016,1603,3,1,1,Daylight,1,Calderdale,9,1,3,1,20
3,31/05/2016,1603,3,1,1,Daylight,1,Calderdale,9,2,3,1,21
3,31/05/2016,1603,3,1,1,Daylight,1,Calderdale,19,1,3,1,28
2,31/05/2016,1750,6,1,1,Daylight,1,Calderdale,23,1,3,1,16
2,02/06/2016,1515,6,1,1,Daylight,1,Calderdale,9,1,3,1,37
2,02/06/2016,1515,6,1,1,Daylight,1,Calderdale,9,2,3,1,10
2,02/06/2016,1515,6,1,1,Daylight,1,Calderdale,9,2,3,2,12
1,05/06/2016,1342,6,1,1,Daylight,1,Calderdale,8,3,2,1,1
1,06/06/2016,1300,6,1,1,Daylight,1,Calderdale,8,3,3,1,36
3,11/06/2016,2035,6,2,4,Dark,2,Calderdale,9,1,3,1,63
3,11/06/2016,2035,6,2,4,Dark,2,Calderdale,9,2,3,1,25
2,12/06/2016,1248,6,2,1,Daylight,2,Calderdale,9,2,3,2,65
2,14/06/2016,2132,6,2,1,Daylight,1,Calderdale,9,2,3,2,25
1,16/06/2016,1215,6,1,1,Daylight,1,Calderdale,9,3,3,1,100
2,18/06/2016,1315,3,1,1,Daylight,1,Calderdale,8,2,3,1,31
2,18/06/2016,1315,3,1,1,Daylight,1,Calderdale,8,2,3,2,27
2,18/06/2016,1315,3,1,1,Daylight,1,Calderdale,8,2,3,1,9
2,18/06/2016,1315,3,1,1,Daylight,1,Calderdale,8,2,3,2,7
2,18/06/2016,1315,3,1,1,Daylight,1,Calderdale,8,2,3,1,1
2,18/06/2016,1315,3,1,1,Daylight,1,Calderdale,8,2,3,2,54
2,18/06/2016,1448,6,1,1,Daylight,1,Calderdale,9,1,3,1,36
2,14/06/2016,20,6,1,7,Dark,1,Calderdale,9,1,3,1,37
2,20/06/2016,1734,3,1,1,Daylight,1,Calderdale,9,2,3,2,27
2,20/06/2016,1734,3,1,1,Daylight,1,Calderdale,9,1,3,2,31
2,20/06/2016,1734,3,1,1,Daylight,1,Calderdale,9,2,3,2,24
2,22/06/2016,1615,6,1,1,Daylight,1,Calderdale,9,1,3,1,90
1,24/06/2016,115,6,1,4,Dark,1,Calderdale,9,3,2,1,24
2,24/06/2016,1515,6,1,1,Daylight,1,Calderdale,9,1,3,2,20
2,26/06/2016,1200,6,1,1,Daylight,1,Calderdale,1,1,3,1,44
2,26/06/2016,1245,3,1,1,Daylight,1,Calderdale,1,1,3,1,54
1,28/06/2016,1607,6,2,1,Daylight,2,Calderdale,9,3,3,2,16
1,28/06/2016,1627,3,1,1,Daylight,1,Calderdale,9,3,2,2,92
1,28/06/2016,2344,3,2,4,Dark,1,Calderdale,9,1,3,1,34
1,30/06/2016,1211,6,1,1,Daylight,1,Calderdale,19,3,3,2,79
2,03/07/2016,820,3,1,1,Daylight,1,Calderdale,9,1,3,2,67
2,04/07/2016,1054,1,1,1,Daylight,1,Calderdale,9,1,3,2,39
3,04/07/2016,2315,6,2,4,Dark,2,Calderdale,9,3,2,1,21
1,05/07/2016,1524,6,1,1,Daylight,1,Calderdale,9,3,3,1,6
