"","Number.of.Vehicles","Accident.Date","Time..24hr.","X1st.Road.Class","Road.Surface","Lighting.Conditions","Daylight.Dark","Weather.Conditions","Local.Authority","Type.of.Vehicle","Casualty.Class","Casualty.Severity","Sex.of.Casualty","Age.of.Casualty"
"1892",1,"04/10/2014",1205,"6","2",1,"Daylight",1,"Calderdale",9,3,3,2,57
"1893",2,"30/09/2014",1413,"3","1",1,"Daylight",1,"Calderdale",1,1,3,1,35
"1894",2,"30/09/2014",1805,"3","1",1,"Daylight",1,"Calderdale",1,1,2,1,57
"1895",2,"01/10/2014",1214,"3","1",1,"Daylight",1,"Calderdale",19,1,2,1,43
"1896",2,"02/10/2014",720,"3","1",1,"Daylight",1,"Calderdale",5,2,3,1,25
"1897",2,"02/10/2014",720,"3","1",1,"Daylight",1,"Calderdale",5,1,2,1,22
"1898",2,"02/10/2014",838,"6","1",1,"Daylight",1,"Calderdale",1,1,3,1,12
"1899",1,"03/10/2014",810,"6","1",1,"Daylight",1,"Calderdale",9,3,3,1,43
"1900",1,"06/10/2014",1525,"6","2",1,"Daylight",2,"Calderdale",9,3,3,2,10
"1901",3,"07/10/2014",707,"6","2",1,"Daylight",7,"Calderdale",9,1,3,1,17
"1902",3,"07/10/2014",707,"6","2",1,"Daylight",7,"Calderdale",9,1,3,2,62
"1903",2,"07/10/2014",707,"3","2",1,"Daylight",7,"Calderdale",4,1,3,1,41
"1904",2,"07/10/2014",1640,"6","2",1,"Daylight",2,"Calderdale",9,1,3,2,43
"1905",3,"09/10/2014",2335,"3","2",1,"Daylight",2,"Calderdale",9,1,3,1,63
"1906",1,"09/10/2014",1805,"6","1",1,"Daylight",1,"Calderdale",9,3,3,1,6
"1907",1,"09/10/2014",2100,"3","2",6,"",5,"Calderdale",9,1,3,1,41
"1908",2,"10/10/2014",910,"6","1",1,"Daylight",1,"Calderdale",9,1,3,2,32
"1909",2,"11/10/2014",2345,"6","2",4,"Dark",1,"Calderdale",9,2,3,2,30
"1910",1,"14/10/2014",820,"3","1",1,"Daylight",1,"Calderdale",11,3,2,2,12
"1911",1,"14/10/2014",1650,"6","2",1,"Daylight",1,"Calderdale",9,3,3,2,11
"1912",2,"16/10/2014",640,"4","2",4,"Dark",1,"Calderdale",9,1,3,1,41
"1913",1,"17/10/2014",855,"4","1",1,"Daylight",1,"Calderdale",9,3,3,1,33
"1914",2,"17/10/2014",1112,"3","1",1,"Daylight",1,"Calderdale",5,1,3,1,21
"1915",2,"17/10/2014",1612,"6","1",1,"Daylight",1,"Calderdale",9,1,3,1,23
"1916",1,"18/10/2014",243,"3","2",4,"Dark",2,"Calderdale",9,2,3,2,14
"1917",1,"18/10/2014",243,"3","2",4,"Dark",2,"Calderdale",9,2,3,2,16
"1918",1,"18/10/2014",1750,"6","1",1,"Daylight",1,"Calderdale",9,3,2,2,4
"1919",1,"18/10/2014",1804,"3","1",4,"Dark",1,"Calderdale",9,3,2,2,8
"1920",2,"19/10/2014",1245,"3","1",1,"Daylight",1,"Calderdale",1,1,3,1,23
"1921",1,"20/10/2014",702,"3","2",1,"Daylight",1,"Calderdale",9,1,3,2,21
"1922",2,"21/10/2014",1623,"6","2",1,"Daylight",5,"Calderdale",3,1,3,1,18
"1923",2,"22/10/2014",1500,"6","1",1,"Daylight",1,"Calderdale",9,1,3,1,27
"1924",3,"23/10/2014",1935,"6","2",4,"Dark",1,"Calderdale",9,3,1,1,63
"1925",2,"23/10/2014",2150,"3","1",7,"Dark",1,"Calderdale",1,1,3,1,25
"1926",2,"24/10/2014",1850,"6","1",4,"Dark",1,"Calderdale",9,1,3,1,33
"1927",2,"24/10/2014",2020,"3","2",4,"Dark",1,"Calderdale",9,1,3,2,49
"1928",2,"24/10/2014",2020,"3","2",4,"Dark",1,"Calderdale",9,2,3,2,62
"1929",2,"25/10/2014",2255,"3","1",4,"Dark",1,"Calderdale",9,1,3,2,56
"1930",2,"25/10/2014",2255,"3","1",4,"Dark",1,"Calderdale",9,1,3,1,23
"1931",1,"26/10/2014",454,"6","2",4,"Dark",1,"Calderdale",9,1,2,1,22
"1932",2,"27/10/2014",2140,"3","1",4,"Dark",1,"Calderdale",2,1,2,1,17
"1933",2,"29/10/2014",2002,"3","2",4,"Dark",1,"Calderdale",9,1,3,1,31
"1934",2,"29/10/2014",2002,"3","2",4,"Dark",1,"Calderdale",9,2,3,1,41
"1935",2,"29/10/2014",2002,"3","2",4,"Dark",1,"Calderdale",9,2,3,1,34
"1936",2,"29/10/2014",2002,"3","2",4,"Dark",1,"Calderdale",9,1,3,1,72
"1937",2,"02/11/2014",1400,"3","1",1,"Daylight",1,"Calderdale",1,1,3,1,49
"1938",1,"03/11/2014",725,"6","2",1,"Daylight",1,"Calderdale",19,2,2,1,53
"1939",1,"03/11/2014",725,"6","2",1,"Daylight",1,"Calderdale",19,2,3,1,25
"1940",1,"03/11/2014",725,"6","2",1,"Daylight",1,"Calderdale",19,1,3,1,48
"1941",1,"03/11/2014",1530,"3","1",1,"Daylight",1,"Calderdale",9,3,3,2,57
"1942",2,"03/11/2014",700,"1","1",1,"Daylight",1,"Calderdale",9,1,3,1,19
"1943",2,"03/11/2014",2315,"3","2",7,"Dark",1,"Calderdale",9,2,3,2,21
"1944",2,"04/11/2014",1345,"6","1",1,"Daylight",1,"Calderdale",9,1,3,2,37
"1945",2,"04/11/2014",1031,"3","1",1,"Daylight",1,"Calderdale",9,2,3,2,60
"1946",2,"04/11/2014",1730,"3","1",4,"Dark",1,"Calderdale",3,1,3,1,18
"1947",1,"05/11/2014",1115,"3","1",1,"Daylight",1,"Calderdale",9,1,2,2,21
"1948",1,"05/11/2014",1115,"3","1",1,"Daylight",1,"Calderdale",9,2,3,1,22
"1949",1,"05/11/2014",1745,"3","1",4,"Dark",1,"Calderdale",1,1,3,1,40
"1950",2,"05/11/2014",2100,"6","1",1,"Daylight",1,"Calderdale",2,1,3,2,33
"1951",1,"06/11/2014",1540,"6","1",1,"Daylight",1,"Calderdale",9,3,3,2,11
"1952",2,"07/11/2014",800,"6","2",1,"Daylight",2,"Calderdale",9,1,3,1,19
"1953",2,"07/11/2014",800,"6","2",1,"Daylight",2,"Calderdale",9,1,3,1,58
"1954",2,"07/11/2014",800,"6","2",1,"Daylight",2,"Calderdale",9,2,3,1,14
"1955",2,"07/11/2014",2040,"6","2",4,"Dark",1,"Calderdale",9,1,3,2,37
"1956",2,"08/11/2014",1430,"6","2",1,"Daylight",1,"Calderdale",2,1,3,1,18
"1957",1,"07/10/2014",1335,"6","1",1,"Daylight",1,"Calderdale",9,3,3,1,67
"1958",1,"09/11/2014",1740,"6","1",4,"Dark",1,"Calderdale",9,3,3,1,46
"1959",2,"09/11/2014",1840,"3","2",4,"Dark",1,"Calderdale",9,2,3,1,7
"1960",2,"09/11/2014",1840,"3","2",4,"Dark",1,"Calderdale",9,2,3,2,21
"1961",2,"09/11/2014",1840,"3","2",4,"Dark",1,"Calderdale",9,2,3,2,2
"1962",2,"09/11/2014",1840,"3","2",4,"Dark",1,"Calderdale",9,2,3,2,32
"1963",2,"09/11/2014",1840,"3","2",4,"Dark",1,"Calderdale",9,1,3,1,42
"1964",2,"09/11/2014",1840,"3","2",4,"Dark",1,"Calderdale",9,2,3,2,20
"1965",2,"09/11/2014",1840,"3","2",4,"Dark",1,"Calderdale",9,2,2,1,11
"1966",2,"10/11/2014",1300,"3","1",1,"Daylight",1,"Calderdale",9,1,3,2,43
"1967",2,"10/11/2014",1640,"3","2",4,"Dark",2,"Calderdale",9,1,3,2,31
"1968",2,"11/11/2014",1840,"6","1",1,"Daylight",1,"Calderdale",9,1,3,1,48
"1969",2,"11/11/2014",1840,"6","1",1,"Daylight",1,"Calderdale",9,2,3,1,17
"1970",2,"13/11/2014",730,"3","2",1,"Daylight",1,"Calderdale",5,1,3,2,43
"1971",2,"13/11/2014",1630,"6","1",1,"Daylight",1,"Calderdale",1,1,3,1,27
"1972",2,"14/11/2014",1700,"1","2",7,"Dark",1,"Calderdale",9,1,3,2,22
"1973",2,"17/11/2014",1205,"3","1",1,"Daylight",1,"Calderdale",9,2,3,2,36
"1974",2,"17/11/2014",1205,"3","1",1,"Daylight",1,"Calderdale",9,1,3,1,78
"1975",2,"17/11/2014",1309,"6","1",1,"Daylight",1,"Calderdale",9,1,3,1,77
"1976",2,"17/11/2014",1309,"6","1",1,"Daylight",1,"Calderdale",9,2,3,2,70
"1977",4,"17/11/2014",1745,"3","2",4,"Dark",1,"Calderdale",9,1,3,1,21
"1978",1,"18/11/2014",1445,"6","2",1,"Daylight",1,"Calderdale",9,1,3,2,30
"1979",2,"19/11/2014",700,"6","2",4,"Dark",1,"Calderdale",8,2,3,1,28
"1980",2,"19/11/2014",700,"6","2",4,"Dark",1,"Calderdale",9,2,3,2,24
"1981",2,"19/11/2014",700,"6","2",4,"Dark",1,"Calderdale",8,2,3,2,26
"1982",2,"19/11/2014",740,"6","2",1,"Daylight",2,"Calderdale",3,1,2,1,18
"1983",2,"21/11/2014",1339,"6","1",1,"Daylight",1,"Calderdale",9,1,3,1,34
"1984",2,"21/11/2014",1750,"3","2",4,"Dark",2,"Calderdale",5,1,3,1,22
"1985",1,"23/11/2014",640,"3","2",6,"",1,"Calderdale",9,2,3,1,19
"1986",1,"23/11/2014",640,"3","2",6,"",1,"Calderdale",9,1,3,1,18
"1987",2,"23/11/2014",1404,"6","1",1,"Daylight",1,"Calderdale",9,1,2,1,20
"1988",1,"24/11/2014",1530,"3","1",1,"Daylight",1,"Calderdale",9,3,3,1,30
"1989",2,"24/11/2014",1655,"6","2",4,"Dark",9,"Calderdale",4,1,3,1,34
"1990",2,"25/11/2014",1630,"3","1",4,"Dark",1,"Calderdale",9,1,3,2,20
"1991",2,"25/11/2014",1630,"3","1",4,"Dark",1,"Calderdale",9,1,3,1,22
"1992",1,"26/11/2014",1248,"6","1",1,"Daylight",1,"Calderdale",19,3,3,1,89
"1993",1,"26/11/2014",1248,"6","1",1,"Daylight",1,"Calderdale",19,3,3,2,90
"1994",1,"27/11/2014",640,"6","2",4,"Dark",7,"Calderdale",9,3,2,2,19
"1995",2,"28/11/2014",1024,"1","2",1,"Daylight",7,"Calderdale",9,2,3,2,26
"1996",2,"28/11/2014",1024,"1","2",1,"Daylight",7,"Calderdale",9,2,3,2,23
"1997",2,"28/11/2014",1024,"1","2",1,"Daylight",7,"Calderdale",9,2,3,1,48
"1998",2,"28/11/2014",1024,"1","2",1,"Daylight",7,"Calderdale",9,1,3,1,42
"1999",2,"28/11/2014",1024,"1","2",1,"Daylight",7,"Calderdale",19,1,3,1,55
"2000",2,"28/11/2014",1550,"6","2",1,"Daylight",7,"Calderdale",9,1,3,2,55
"2001",2,"28/11/2014",1545,"6","2",1,"Daylight",7,"Calderdale",8,1,3,1,59
"2002",2,"28/11/2014",1630,"6","2",4,"Dark",2,"Calderdale",9,2,3,2,42
"2003",2,"28/11/2014",1630,"6","2",4,"Dark",2,"Calderdale",9,2,3,2,20
"2004",2,"28/11/2014",1630,"6","2",4,"Dark",2,"Calderdale",9,2,3,1,18
"2005",2,"30/11/2014",850,"3","1",1,"Daylight",1,"Calderdale",9,1,3,2,78
"2006",2,"30/11/2014",850,"3","1",1,"Daylight",1,"Calderdale",9,1,3,2,59
"2007",1,"01/11/2014",1320,"3","2",1,"Daylight",1,"Calderdale",5,1,2,1,34
"2008",2,"02/12/2014",855,"6","1",1,"Daylight",1,"Calderdale",5,1,3,1,38
"2009",1,"03/12/2014",1105,"6","1",1,"Daylight",1,"Calderdale",21,3,3,2,60
"2010",1,"03/12/2014",1205,"6","1",1,"Daylight",1,"Calderdale",11,3,2,2,67
"2011",1,"03/12/2014",1650,"6","2",4,"Dark",1,"Calderdale",9,3,2,1,79
"2012",1,"05/12/2014",850,"6","1",1,"Daylight",1,"Calderdale",9,3,3,2,38
"2013",6,"08/12/2014",1332,"3","2",1,"Daylight",1,"Calderdale",9,1,3,1,75
"2014",6,"08/12/2014",1332,"3","2",1,"Daylight",1,"Calderdale",9,2,3,1,75
"2015",1,"08/12/2014",1700,"6","2",4,"Dark",1,"Calderdale",9,3,2,1,20
"2016",2,"08/12/2014",1927,"3","2",4,"Dark",1,"Calderdale",5,1,2,1,25
"2017",3,"09/12/2014",1945,"6","2",4,"Dark",5,"Calderdale",20,1,2,2,32
"2018",2,"05/12/2014",1930,"3","2",4,"Dark",5,"Calderdale",1,1,2,1,44
"2019",1,"11/12/2014",2245,"1","3",4,"Dark",2,"Calderdale",9,1,3,2,29
"2020",2,"11/12/2014",2311,"3","2",4,"Dark",2,"Calderdale",9,1,3,1,46
"2021",2,"11/12/2014",2311,"3","2",4,"Dark",2,"Calderdale",9,1,3,2,29
"2022",1,"12/12/2014",1319,"3","2",1,"Daylight",2,"Calderdale",4,3,2,2,80
"2023",1,"12/12/2014",1319,"3","2",1,"Daylight",2,"Calderdale",4,2,3,2,41
"2024",2,"14/12/2014",800,"6","2",1,"Daylight",2,"Calderdale",9,1,3,2,28
"2025",1,"16/12/2014",1413,"3","1",1,"Daylight",1,"Calderdale",19,3,2,1,58
"2026",2,"16/12/2014",1653,"6","2",4,"Dark",1,"Calderdale",1,1,2,1,36
"2027",2,"16/12/2014",2105,"1","2",4,"Dark",5,"Calderdale",9,1,3,1,19
"2028",2,"16/12/2014",2105,"1","2",4,"Dark",5,"Calderdale",9,1,3,1,44
"2029",2,"16/12/2014",2105,"1","2",4,"Dark",5,"Calderdale",9,2,3,2,32
"2030",2,"16/12/2014",2105,"1","2",4,"Dark",5,"Calderdale",9,2,3,2,19
"2031",2,"17/12/2014",650,"6","2",4,"Dark",2,"Calderdale",3,1,3,1,24
"2032",2,"17/12/2014",800,"3","2",4,"Dark",2,"Calderdale",3,1,3,1,22
"2033",2,"17/12/2014",1555,"6","2",5,"Dark",2,"Calderdale",3,1,3,1,31
"2034",2,"18/12/2014",1345,"3","2",1,"Daylight",2,"Calderdale",9,1,3,2,57
"2035",2,"18/12/2014",1345,"3","2",1,"Daylight",2,"Calderdale",9,1,3,2,24
"2036",2,"18/12/2014",2030,"1","5",4,"Dark",5,"Calderdale",9,1,3,2,23
"2037",1,"19/12/2014",1730,"6","2",4,"Dark",5,"Calderdale",9,3,3,2,26
"2038",2,"19/12/2014",1955,"3","2",4,"Dark",5,"Calderdale",11,1,3,1,44
"2039",2,"19/12/2014",2120,"3","2",4,"Dark",2,"Calderdale",9,1,3,1,30
"2040",1,"21/12/2014",1158,"6","2",1,"Daylight",2,"Calderdale",9,3,3,2,10
"2041",1,"22/12/2014",1015,"6","2",1,"Daylight",2,"Calderdale",21,1,3,1,37
"2042",2,"22/12/2014",1215,"3","2",1,"Daylight",4,"Calderdale",9,1,3,1,34
"2043",2,"22/12/2014",1200,"3","1",1,"Daylight",1,"Calderdale",9,1,3,1,32
"2044",1,"18/12/2014",1730,"6","2",4,"Dark",5,"Calderdale",9,3,3,1,68
"2045",2,"23/12/2014",1535,"3","2",4,"Dark",5,"Calderdale",9,1,3,2,74
"2046",2,"23/12/2014",1535,"3","2",4,"Dark",5,"Calderdale",9,2,3,1,81
"2047",2,"24/12/2014",1120,"3","1",1,"Daylight",1,"Calderdale",9,1,3,1,64
"2048",2,"24/12/2014",1340,"3","2",1,"Daylight",2,"Calderdale",8,1,3,1,42
"2049",2,"24/12/2014",1340,"3","2",1,"Daylight",2,"Calderdale",8,2,3,1,56
"2050",2,"24/12/2014",1340,"3","2",1,"Daylight",2,"Calderdale",8,2,3,2,53
"2051",2,"24/12/2014",2116,"6","1",4,"Dark",1,"Calderdale",9,1,3,1,25
"2052",2,"24/12/2014",2116,"6","1",4,"Dark",1,"Calderdale",9,2,3,1,24
"2053",3,"25/12/2014",1625,"6","2",4,"Dark",1,"Calderdale",9,2,3,1,21
"2054",3,"25/12/2014",1625,"6","2",4,"Dark",1,"Calderdale",9,1,3,1,52
"2055",3,"25/12/2014",1625,"6","2",4,"Dark",1,"Calderdale",9,2,3,2,66
"2056",3,"25/12/2014",1625,"6","2",4,"Dark",1,"Calderdale",9,1,3,1,21
"2057",3,"25/12/2014",1625,"6","2",4,"Dark",1,"Calderdale",9,2,3,1,21
"2058",3,"25/12/2014",1625,"6","2",4,"Dark",1,"Calderdale",9,2,3,1,21
"2059",1,"27/12/2014",515,"1","3",4,"Dark",3,"Calderdale",9,1,3,1,32
"2060",3,"26/12/2014",1347,"6","2",1,"Daylight",1,"Calderdale",9,2,3,1,24
"2061",3,"26/12/2014",1347,"6","2",1,"Daylight",1,"Calderdale",9,2,3,1,25
"2062",3,"26/12/2014",1347,"6","2",1,"Daylight",1,"Calderdale",9,1,3,2,29
"2063",1,"26/12/2014",2225,"6","2",4,"Dark",9,"Calderdale",9,3,3,2,53
"2064",1,"29/12/2014",735,"6","4",6,"",1,"Calderdale",9,1,3,1,36
"2065",4,"30/12/2014",1341,"3","2",1,"Daylight",1,"Calderdale",9,1,3,2,39
"2066",4,"30/12/2014",1341,"3","2",1,"Daylight",1,"Calderdale",9,1,3,1,25
"2067",1,"30/12/2014",1535,"6","2",1,"Daylight",1,"Calderdale",9,3,3,1,5
"2068",2,"31/12/2014",1800,"6","2",4,"Dark",1,"Calderdale",9,1,2,2,34
"2069",2,"31/12/2014",1800,"6","2",4,"Dark",1,"Calderdale",9,2,2,1,34
